Ensembl.Gene.ID	Mouse_E7.5	Mouse_E8.5	Mouse_E9.5	Mouse_E10.5	Mouse_E12.5	Mouse_E14.5	Mouse_E16.5	Mouse_E18.5
ENSMUSG00000053158	4.51666666666667	4.03333333333333	4.01833333333333	4.25333333333333	3.96	4.0875	4.02	4.265
ENSMUSG00000053161	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053166	2.42	2.42	2.42	2.63	2.445	2.42	2.42	2.42
ENSMUSG00000053168	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053175	2.86	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053181	3.43	3.75	3.55	3.47	3.26	3.32	3.33	3.315
ENSMUSG00000053184	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053185	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053192	4.29333333333333	5.05666666666667	5.31333333333333	6.24833333333333	6.965	6.8975	6.7175	6.6075
ENSMUSG00000053194	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053198	5.79666666666667	5.53333333333333	5.84666666666667	5.87	5.07	5.17	5.32	5.95
ENSMUSG00000053199	2.47833333333333	2.475	2.43833333333333	2.515	4.14	4.3475	3.8775	3.7775
ENSMUSG00000053218	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053226	2.45333333333333	2.44	2.43333333333333	2.44	2.44	2.44	2.44	2.74
ENSMUSG00000053253	9.95333333333333	9.16	9.04666666666667	9.19333333333333	8.99	9.1	9.46	9.435
ENSMUSG00000053268	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053279	2.83333333333333	2.86	3.19	5.35333333333333	5.69	5.5	7.215	7.775
ENSMUSG00000053286	8.71	8.53333333333333	8.36666666666667	8.23666666666667	8.005	7.535	7.135	7.27
ENSMUSG00000053289	9.88666666666666	9.635	9.26333333333333	8.855	7.81	7.6175	7.545	7.055
ENSMUSG00000053293	9.675	9.8	9.88833333333333	9.79	9.7475	9.3575	8.78	8.335
ENSMUSG00000053297	2.26333333333333	2.28	2.24888888888889	2.25	2.25	2.52166666666666	2.375	2.51833333333333
ENSMUSG00000053303	2.36666666666667	2.39	2.39333333333333	2.49833333333333	2.385	2.39	2.4775	2.39
ENSMUSG00000053310	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053318	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053329	9.77	9.50333333333333	9.6	9.75	9.415	9.59	9.865	10.295
ENSMUSG00000053332	12.385	12.6566666666667	12.47	12.4316666666667	12.385	12.6875	12.45	12.2475
ENSMUSG00000053333	3.62	4.32	4.64	4.75666666666667	3.85	3.815	3.81	3.715
ENSMUSG00000053334	3.92	3.75	3.75	3.75	3.75	3.75	3.75	3.75
ENSMUSG00000053347	4.115	4.56833333333333	4.61	4.61	4.705	4.6825	4.6925	4.875
ENSMUSG00000053353	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053358	2.37	2.37	2.44	2.37	2.37	2.37	2.37	2.37
ENSMUSG00000053367	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053368	2.23	2.23	2.23666666666667	2.23	2.7375	2.23	2.23	2.23
ENSMUSG00000053375	2.27	2.27	2.32666666666667	2.27	2.27	2.255	2.27	2.275
ENSMUSG00000053390	4.85333333333333	5.12333333333333	5.22333333333333	5.53333333333333	5.32	5.105	5.2	4.905
ENSMUSG00000053398	10.6466666666667	9.88666666666666	10.1566666666667	10.2633333333333	9.22	9.385	8.89	8.74
ENSMUSG00000053399	2.23	2.23	2.255	2.23166666666667	2.23	2.23	2.23	2.23
ENSMUSG00000053411	7.16333333333333	2.98333333333333	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053414	8.58666666666667	8.96666666666667	9.07333333333333	9.09	8.505	7.605	6.365	5.87
ENSMUSG00000053420	2.23	2.23	2.32333333333333	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053436	7.98166666666667	7.69833333333333	7.48666666666667	7.05916666666667	6.435	6.42	6.57375	6.7325
ENSMUSG00000053453	11.2833333333333	11.3033333333333	11.6266666666667	11.5566666666667	11.6	11.565	11.5	11.25
ENSMUSG00000053460	4.67	4.51666666666667	4.09666666666667	4.12333333333333	4.815	5.205	5.53	5.915
ENSMUSG00000053461	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053465	2.23	2.24	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053467	2.23	2.23	2.23	2.23	2.23	2.23	2.23	2.23
ENSMUSG00000053469	2.23	2.27666666666667	2.23	2.23	2.23	2.23	2.23	2.56
ENSMUSG00000053470	8.93666666666667	9.97333333333333	10.0233333333333	10.1466666666667	10.085	9.51	9.28	9.235
ENSMUSG00000053475	5.69333333333333	5.76	6.69	7.39333333333333	7.51	6.92	7.295	7.18
ENSMUSG00000053477	6.42	7.26722222222222	7.86833333333333	8.36111111111111	9.79083333333334	9.49333333333333	9.02416666666667	8.81166666666667
ENSMUSG00000053483	8.22333333333333	8.50666666666667	8.21	8.41666666666667	8.12	7.505	6.85	6.115
ENSMUSG00000053490	2.23	2.25166666666667	2.29833333333333	2.23333333333333	2.23	2.23	2.23	2.23
ENSMUSG00000053510	8.03333333333333	8.525	8.46666666666667	8.69833333333333	8.37	8.1375	8.06	8.4475
ENSMUSG00000053519	2.425	2.425	2.44333333333333	2.425	2.5	3.005	2.8425	2.49
ENSMUSG00000053522	2.23	2.23	2.23	2.23333333333333	2.23	2.96	9.23	10.59
ENSMUSG00000053536	10.5233333333333	10.89	11.0066666666667	11.0666666666667	11.22	10.865	10.56	10.4
ENSMUSG00000053550	2.37	2.35	2.41	2.46666666666667	2.41	2.41	2.495	2.41
ENSMUSG00000053552	2.23	2.23	2.23	2.23	2.545	2.34	2.23	2.23
ENSMUSG00000053553	9.76666666666667	9.49	9.28	8.54666666666667	6.655	6.305	5.45	4.33
ENSMUSG00000053559	8.59333333333333	6.55	5.82666666666667	5.22666666666667	4.675	5.705	7.65	8.03
ENSMUSG00000053560	8.84666666666667	9.91666666666667	9.81666666666667	9.80666666666667	8.57	8.18	8.02	8.47
ENSMUSG00000053565	12.4333333333333	12.4066666666667	12.3333333333333	12.42	11.99	11.77	11.83	11.7
ENSMUSG00000053574	3.02666666666667	3.07333333333333	3.04666666666667	3.09	3.3525	3.4075	3.09	3.09
ENSMUSG00000053580	4.34666666666667	4.44833333333333	4.825	5.32	6.6775	7.19	6.2675	6.285
