Ensembl.Gene.ID	scorecutoff	connectivity	toppercentile
ENSMUSG00000003657	400	58	20
ENSMUSG00000003660	400	130	10
ENSMUSG00000003662	400	4	80
ENSMUSG00000003665	400	4	80
ENSMUSG00000003680	400	5	80
ENSMUSG00000003721	400	20	50
ENSMUSG00000003731	400	16	60
ENSMUSG00000003746	400	16	60
ENSMUSG00000003752	400	2	90
ENSMUSG00000003762	400	2	90
ENSMUSG00000003778	400	8	70
ENSMUSG00000003779	400	112	10
ENSMUSG00000003808	400	28	40
ENSMUSG00000003809	400	29	40
ENSMUSG00000003810	400	18	50
ENSMUSG00000003812	400	9	70
ENSMUSG00000003813	400	32	40
ENSMUSG00000003814	400	69	20
ENSMUSG00000003824	400	4	80
ENSMUSG00000003847	400	45	30
ENSMUSG00000003848	400	13	60
ENSMUSG00000003849	400	66	20
ENSMUSG00000003863	400	1	100
ENSMUSG00000003865	400	38	30
ENSMUSG00000003868	400	75	20
ENSMUSG00000003873	400	172	10
ENSMUSG00000003882	400	110	10
ENSMUSG00000003923	400	181	10
ENSMUSG00000003934	400	24	50
ENSMUSG00000003948	400	3	80
ENSMUSG00000003949	400	35	40
ENSMUSG00000003955	400	6	80
ENSMUSG00000003970	400	304	10
ENSMUSG00000003974	400	23	50
ENSMUSG00000003974	400	28	40
ENSMUSG00000003992	400	17	50
ENSMUSG00000004018	400	29	40
ENSMUSG00000004032	400	86	20
ENSMUSG00000004035	400	72	20
ENSMUSG00000004038	400	104	10
ENSMUSG00000004040	400	248	10
ENSMUSG00000004043	400	80	20
ENSMUSG00000004044	400	46	30
ENSMUSG00000004054	400	32	40
ENSMUSG00000004056	400	98	10
ENSMUSG00000004069	400	23	50
ENSMUSG00000004070	400	43	30
ENSMUSG00000004085	400	4	80
ENSMUSG00000004096	400	10	70
ENSMUSG00000004098	400	36	40
ENSMUSG00000004099	400	150	10
ENSMUSG00000004100	400	41	30
ENSMUSG00000004105	400	10	70
ENSMUSG00000004110	400	38	30
ENSMUSG00000004113	400	21	50
ENSMUSG00000004127	400	16	60
ENSMUSG00000004207	400	33	40
ENSMUSG00000004221	400	105	10
ENSMUSG00000004231	400	229	10
ENSMUSG00000004233	400	68	20
ENSMUSG00000004263	400	27	40
ENSMUSG00000004264	400	59	20
ENSMUSG00000004266	400	141	10
ENSMUSG00000004267	400	78	20
ENSMUSG00000004268	400	229	10
ENSMUSG00000004270	400	14	60
ENSMUSG00000004285	400	39	30
ENSMUSG00000004296	400	122	10
ENSMUSG00000004317	400	33	40
ENSMUSG00000004319	400	25	40
ENSMUSG00000004328	400	27	40
ENSMUSG00000004341	400	46	30
ENSMUSG00000004344	400	56	20
ENSMUSG00000004347	400	72	20
ENSMUSG00000004356	400	2	90
ENSMUSG00000004359	400	7	70
ENSMUSG00000004364	400	65	20
ENSMUSG00000004366	400	94	10
ENSMUSG00000004371	400	67	20
ENSMUSG00000004383	400	49	30
ENSMUSG00000004393	400	19	50
ENSMUSG00000004394	400	6	80
ENSMUSG00000004415	400	13	60
ENSMUSG00000004446	400	25	40
ENSMUSG00000004451	400	16	60
ENSMUSG00000004455	400	57	20
ENSMUSG00000004460	400	62	20
ENSMUSG00000004473	400	10	70
ENSMUSG00000004508	400	71	20
ENSMUSG00000004530	400	18	50
ENSMUSG00000004535	400	40	30
ENSMUSG00000004540	400	8	70
ENSMUSG00000004552	400	34	40
ENSMUSG00000004558	400	15	60
ENSMUSG00000004565	400	8	70
ENSMUSG00000004567	400	14	60
ENSMUSG00000004568	400	17	50
ENSMUSG00000004591	400	20	50
ENSMUSG00000004609	400	29	40
ENSMUSG00000004610	400	105	10
ENSMUSG00000004612	400	10	70
ENSMUSG00000004613	400	31	40
ENSMUSG00000004626	400	14	60
ENSMUSG00000004630	400	33	40
ENSMUSG00000004631	400	43	30
ENSMUSG00000004633	400	24	50
ENSMUSG00000004637	400	60	20
ENSMUSG00000004642	400	81	20
ENSMUSG00000004651	400	46	30
ENSMUSG00000004654	400	37	30
ENSMUSG00000004655	400	24	50
ENSMUSG00000004661	400	5	80
ENSMUSG00000004665	400	26	40
ENSMUSG00000004667	400	334	10
ENSMUSG00000004668	400	31	40
ENSMUSG00000004677	400	18	50
ENSMUSG00000004698	400	43	30
ENSMUSG00000004707	400	12	60
ENSMUSG00000004709	400	50	30
ENSMUSG00000004730	400	66	20
ENSMUSG00000004748	400	2	90
ENSMUSG00000004768	400	24	50
ENSMUSG00000004788	400	15	60
ENSMUSG00000004789	400	59	20
ENSMUSG00000004791	400	29	40
ENSMUSG00000004798	400	7	70
ENSMUSG00000004814	400	66	20
ENSMUSG00000004815	400	41	30
ENSMUSG00000004837	400	10	70
ENSMUSG00000004842	400	170	10
ENSMUSG00000004843	400	6	80
ENSMUSG00000004846	400	24	50
ENSMUSG00000004849	400	20	50
ENSMUSG00000004864	400	97	10
ENSMUSG00000004865	400	7	70
ENSMUSG00000004872	400	227	10
ENSMUSG00000004880	400	35	40
ENSMUSG00000004885	400	24	50
ENSMUSG00000004891	400	18	50
ENSMUSG00000004892	400	10	70
ENSMUSG00000004894	400	1	100
ENSMUSG00000004895	400	23	50
ENSMUSG00000004897	400	52	30
ENSMUSG00000004902	400	1	100
ENSMUSG00000004929	400	6	80
ENSMUSG00000004931	400	8	70
ENSMUSG00000004933	400	2	90
ENSMUSG00000004934	400	42	30
ENSMUSG00000004936	400	59	20
ENSMUSG00000004937	400	58	20
ENSMUSG00000004939	400	6	80
ENSMUSG00000004947	400	24	50
ENSMUSG00000004948	400	40	30
ENSMUSG00000004951	400	57	20
ENSMUSG00000004952	400	9	70
ENSMUSG00000004961	400	5	80
ENSMUSG00000004980	400	208	10
ENSMUSG00000004988	400	5	80
ENSMUSG00000004996	400	59	20
ENSMUSG00000005034	400	123	10
ENSMUSG00000005034	400	96	10
ENSMUSG00000005043	400	9	70
ENSMUSG00000005045	400	1	100
ENSMUSG00000005054	400	52	30
ENSMUSG00000005057	400	32	40
ENSMUSG00000005069	400	42	30
ENSMUSG00000005078	400	3	80
ENSMUSG00000005087	400	198	10
ENSMUSG00000005089	400	26	40
ENSMUSG00000005102	400	12	60
ENSMUSG00000005103	400	41	30
ENSMUSG00000005107	400	1	100
ENSMUSG00000005124	400	42	30
ENSMUSG00000005125	400	41	30
ENSMUSG00000005142	400	18	50
ENSMUSG00000005148	400	39	30
ENSMUSG00000005150	400	6	80
ENSMUSG00000005161	400	29	40
ENSMUSG00000005198	400	271	10
ENSMUSG00000005202	400	45	30
ENSMUSG00000005204	400	6	80
ENSMUSG00000005220	400	4	80
ENSMUSG00000005232	400	12	60
ENSMUSG00000005233	400	85	20
ENSMUSG00000005251	400	11	60
ENSMUSG00000005262	400	37	30
ENSMUSG00000005268	400	54	20
ENSMUSG00000005299	400	4	80
ENSMUSG00000005312	400	30	40
ENSMUSG00000005320	400	77	20
ENSMUSG00000005338	400	15	60
ENSMUSG00000005339	400	53	30
ENSMUSG00000005354	400	34	40
ENSMUSG00000005355	400	4	80
ENSMUSG00000005357	400	20	50
ENSMUSG00000005360	400	23	50
ENSMUSG00000005362	400	38	30
ENSMUSG00000005364	400	39	30
ENSMUSG00000005370	400	86	20
ENSMUSG00000005371	400	21	50
ENSMUSG00000005373	400	185	10
ENSMUSG00000005374	400	22	50
ENSMUSG00000005378	400	53	30
ENSMUSG00000005410	400	153	10
ENSMUSG00000005413	400	88	10
ENSMUSG00000005417	400	3	80
ENSMUSG00000005442	400	21	50
ENSMUSG00000005447	400	44	30
ENSMUSG00000005465	400	35	40
ENSMUSG00000005470	400	67	20
ENSMUSG00000005474	400	17	50
