Ensembl.Gene.ID	scorecutoff	connectivity	toppercentile
ENSDARG00000005616	400	9	50
ENSDARG00000005625	400	10	40
ENSDARG00000005640	400	2	80
ENSDARG00000005643	400	18	30
ENSDARG00000005645	400	2	80
ENSDARG00000005651	400	34	20
ENSDARG00000005675	400	32	20
ENSDARG00000005679	400	1	90
ENSDARG00000005699	400	16	30
ENSDARG00000005713	400	10	40
ENSDARG00000005762	400	2	80
ENSDARG00000005772	400	65	10
ENSDARG00000005774	400	3	70
ENSDARG00000005775	400	3	70
ENSDARG00000005780	400	2	80
ENSDARG00000005789	400	33	20
ENSDARG00000005791	400	111	10
ENSDARG00000005799	400	11	40
ENSDARG00000005800	400	44	20
ENSDARG00000005821	400	7	50
ENSDARG00000005823	400	4	60
ENSDARG00000005827	400	27	20
ENSDARG00000005834	400	4	60
ENSDARG00000005840	400	12	40
ENSDARG00000005842	400	3	70
ENSDARG00000005853	400	4	60
ENSDARG00000005867	400	4	60
ENSDARG00000005870	400	7	50
ENSDARG00000005891	400	1	90
ENSDARG00000005897	400	50	10
ENSDARG00000005915	400	2	80
ENSDARG00000005926	400	89	10
ENSDARG00000005941	400	6	60
ENSDARG00000005945	400	7	50
ENSDARG00000005972	400	2	80
ENSDARG00000005989	400	5	60
ENSDARG00000006003	400	1	90
ENSDARG00000006008	400	19	30
ENSDARG00000006010	400	11	40
ENSDARG00000006019	400	83	10
ENSDARG00000006029	400	2	80
ENSDARG00000006038	400	1	90
ENSDARG00000006052	400	1	90
ENSDARG00000006062	400	3	70
ENSDARG00000006074	400	24	30
ENSDARG00000006092	400	18	30
ENSDARG00000006094	400	4	60
ENSDARG00000006110	400	30	20
ENSDARG00000006120	400	8	50
ENSDARG00000006125	400	20	30
ENSDARG00000006137	400	2	80
ENSDARG00000006169	400	4	60
ENSDARG00000006174	400	1	90
ENSDARG00000006192	400	3	70
ENSDARG00000006202	400	41	20
ENSDARG00000006240	400	1	90
ENSDARG00000006242	400	2	80
ENSDARG00000006257	400	3	70
ENSDARG00000006260	400	31	20
ENSDARG00000006266	400	16	30
ENSDARG00000006272	400	13	40
ENSDARG00000006279	400	2	80
ENSDARG00000006283	400	12	40
ENSDARG00000006290	400	69	10
ENSDARG00000006299	400	11	40
ENSDARG00000006300	400	16	30
ENSDARG00000006314	400	62	10
ENSDARG00000006316	400	168	10
ENSDARG00000006345	400	59	10
ENSDARG00000006353	400	63	10
ENSDARG00000006389	400	35	20
ENSDARG00000006392	400	36	20
ENSDARG00000006395	400	1	90
ENSDARG00000006399	400	1	90
ENSDARG00000006408	400	1	90
ENSDARG00000006409	400	35	20
ENSDARG00000006413	400	129	10
ENSDARG00000006420	400	16	30
ENSDARG00000006427	400	46	20
ENSDARG00000006434	400	100	10
ENSDARG00000006487	400	6	55
ENSDARG00000006491	400	14	40
ENSDARG00000006494	400	1	90
ENSDARG00000006524	400	17	30
ENSDARG00000006546	400	60	10
ENSDARG00000006553	400	25	20
ENSDARG00000006566	400	4	60
ENSDARG00000006568	400	1	90
ENSDARG00000006580	400	25	20
ENSDARG00000006584	400	4	60
ENSDARG00000006588	400	9	50
ENSDARG00000006603	400	2	80
ENSDARG00000006609	400	7	50
ENSDARG00000006621	400	121	10
ENSDARG00000006640	400	18	30
ENSDARG00000006642	400	39	20
ENSDARG00000006666	400	1	90
ENSDARG00000006677	400	20	30
ENSDARG00000006678	400	12	40
ENSDARG00000006683	400	17	30
ENSDARG00000006691	400	138	10
ENSDARG00000006757	400	3	70
ENSDARG00000006766	400	19	30
ENSDARG00000006773	400	1	90
ENSDARG00000006782	400	51	10
ENSDARG00000006791	400	26	20
ENSDARG00000006812	400	1	90
ENSDARG00000006816	400	6	60
ENSDARG00000006818	400	26	20
ENSDARG00000006837	400	1	90
ENSDARG00000006838	400	28	20
ENSDARG00000006840	400	18	30
ENSDARG00000006868	400	2	80
ENSDARG00000006896	400	6	60
ENSDARG00000006900	400	38	20
ENSDARG00000006911	400	16	30
ENSDARG00000006923	400	4	60
ENSDARG00000006963	400	26	20
ENSDARG00000006978	400	2	80
ENSDARG00000007024	400	61	10
ENSDARG00000007045	400	2	80
ENSDARG00000007081	400	7	50
ENSDARG00000007092	400	29	20
ENSDARG00000007125	400	5	60
ENSDARG00000007135	400	3	70
ENSDARG00000007141	400	70	10
ENSDARG00000007169	400	2	80
ENSDARG00000007172	400	1	90
ENSDARG00000007175	400	2	80
ENSDARG00000007196	400	38	20
ENSDARG00000007204	400	4	60
ENSDARG00000007207	400	1	90
ENSDARG00000007216	400	175	10
ENSDARG00000007217	400	9	50
ENSDARG00000007219	400	33	20
ENSDARG00000007220	400	4	60
ENSDARG00000007221	400	18	30
ENSDARG00000007231	400	55	10
ENSDARG00000007241	400	2	80
ENSDARG00000007244	400	40	20
ENSDARG00000007247	400	6	60
ENSDARG00000007250	400	5	60
ENSDARG00000007257	400	3	70
ENSDARG00000007271	400	48	10
ENSDARG00000007276	400	18	30
ENSDARG00000007277	400	6	60
ENSDARG00000007278	400	18	30
ENSDARG00000007279	400	1	90
ENSDARG00000007285	400	39	20
ENSDARG00000007302	400	23	30
ENSDARG00000007320	400	137	10
ENSDARG00000007323	400	16	30
ENSDARG00000007329	400	18	30
ENSDARG00000007344	400	6	60
ENSDARG00000007347	400	37	20
ENSDARG00000007349	400	4	60
ENSDARG00000007356	400	8	50
ENSDARG00000007359	400	17	30
ENSDARG00000007366	400	8	50
ENSDARG00000007369	400	73	10
ENSDARG00000007385	400	54	10
ENSDARG00000007396	400	1	90
ENSDARG00000007407	400	7	50
ENSDARG00000007413	400	10	40
ENSDARG00000007418	400	6	60
ENSDARG00000007421	400	48	10
ENSDARG00000007438	400	1	90
ENSDARG00000007444	400	2	80
ENSDARG00000007449	400	10	40
ENSDARG00000007477	400	2	80
ENSDARG00000007480	400	9	50
ENSDARG00000007526	400	133	10
ENSDARG00000007531	400	22	30
ENSDARG00000007553	400	17	30
ENSDARG00000007561	400	4	60
ENSDARG00000007624	400	51	10
ENSDARG00000007630	400	2	80
ENSDARG00000007639	400	4	60
ENSDARG00000007641	400	13	40
ENSDARG00000007654	400	4	60
ENSDARG00000007657	400	40	20
ENSDARG00000007663	400	1	90
ENSDARG00000007682	400	3	70
ENSDARG00000007691	400	18	30
ENSDARG00000007693	400	5	60
ENSDARG00000007697	400	7	50
ENSDARG00000007708	400	143	10
ENSDARG00000007723	400	3	70
ENSDARG00000007727	400	5	60
ENSDARG00000007739	400	9	50
ENSDARG00000007745	400	30	20
ENSDARG00000007751	400	4	60
ENSDARG00000007786	400	3	70
ENSDARG00000007804	400	1	90
ENSDARG00000007812	400	22	30
ENSDARG00000007813	400	1	90
ENSDARG00000007825	400	16	30
ENSDARG00000007863	400	46	20
ENSDARG00000007869	400	1	90
ENSDARG00000007885	400	12	40
ENSDARG00000007886	400	4	60
ENSDARG00000007892	400	1	90
ENSDARG00000007906	400	1	90
ENSDARG00000007916	400	2	80
ENSDARG00000007923	400	14	40
ENSDARG00000007943	400	1	90
ENSDARG00000007955	400	16	30
ENSDARG00000007959	400	18	30
ENSDARG00000007971	400	24	30
ENSDARG00000007982	400	4	60
ENSDARG00000007989	400	5	60
ENSDARG00000008032	400	6	60
ENSDARG00000008060	400	1	90
ENSDARG00000008068	400	2	80
ENSDARG00000008097	400	3	70
ENSDARG00000008107	400	51	10
ENSDARG00000008131	400	15	30
ENSDARG00000008133	400	9	50
ENSDARG00000008141	400	10	40
ENSDARG00000008153	400	1	90
ENSDARG00000008155	400	4	60
ENSDARG00000008186	400	13	40
ENSDARG00000008188	400	84	10
ENSDARG00000008224	400	9	50
ENSDARG00000008235	400	5	60
ENSDARG00000008243	400	20	30
ENSDARG00000008255	400	3	70
ENSDARG00000008279	400	16	30
ENSDARG00000008292	400	150	10
ENSDARG00000008305	400	28	20
ENSDARG00000008306	400	6	60
ENSDARG00000008310	400	2	80
ENSDARG00000008333	400	14	40
ENSDARG00000008370	400	18	30
ENSDARG00000008383	400	10	40
ENSDARG00000008388	400	7	50
ENSDARG00000008395	400	22	30
ENSDARG00000008403	400	7	50
ENSDARG00000008433	400	1	90
ENSDARG00000008434	400	18	30
ENSDARG00000008447	400	13	40
ENSDARG00000008454	400	6	60
ENSDARG00000008457	400	1	90
ENSDARG00000008461	400	38	20
ENSDARG00000008472	400	4	60
ENSDARG00000008480	400	42	20
ENSDARG00000008487	400	3	70
ENSDARG00000008490	400	4	60
ENSDARG00000008491	400	2	80
ENSDARG00000008494	400	7	50
ENSDARG00000008502	400	122	10
ENSDARG00000008541	400	21	30
ENSDARG00000008542	400	1	90
ENSDARG00000008548	400	1	90
ENSDARG00000008551	400	22	30
ENSDARG00000008592	400	1	90
ENSDARG00000008637	400	1	90
ENSDARG00000008660	400	4	60
ENSDARG00000008697	400	1	90
